"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2022","2022","USD","US Dollar","0","Units",,,55.929546,"E","Estimated value"
"AUS","Australia","T_GDPEMP","GDP per person employed","VPVOB","USD, constant prices, 2015 PPPs","2013","2013","USD","US Dollar","0","Units",,,92758.057857,,
"AUS","Australia","T_GDPEMP","GDP per person employed","VPVOB","USD, constant prices, 2015 PPPs","2014","2014","USD","US Dollar","0","Units",,,92965.050236,,
"AUS","Australia","T_GDPEMP","GDP per person employed","VPVOB","USD, constant prices, 2015 PPPs","2015","2015","USD","US Dollar","0","Units",,,93808.824404,,
"AUS","Australia","T_GDPEMP","GDP per person employed","VPVOB","USD, constant prices, 2015 PPPs","2016","2016","USD","US Dollar","0","Units",,,93973.834526,,
"AUS","Australia","T_GDPEMP","GDP per person employed","VPVOB","USD, constant prices, 2015 PPPs","2017","2017","USD","US Dollar","0","Units",,,94281.639927,,
"AUS","Australia","T_GDPEMP","GDP per person employed","VPVOB","USD, constant prices, 2015 PPPs","2018","2018","USD","US Dollar","0","Units",,,94139.360347,"E","Estimated value"
"AUS","Australia","T_GDPEMP","GDP per person employed","VPVOB","USD, constant prices, 2015 PPPs","2019","2019","USD","US Dollar","0","Units",,,93364.921482,"E","Estimated value"
"AUS","Australia","T_GDPEMP","GDP per person employed","VPVOB","USD, constant prices, 2015 PPPs","2020","2020","USD","US Dollar","0","Units",,,94837.425129,"E","Estimated value"
"AUS","Australia","T_GDPEMP","GDP per person employed","VPVOB","USD, constant prices, 2015 PPPs","2021","2021","USD","US Dollar","0","Units",,,95747.879347,"E","Estimated value"
"AUS","Australia","T_GDPEMP","GDP per person employed","VPVOB","USD, constant prices, 2015 PPPs","2022","2022","USD","US Dollar","0","Units",,,94570.463077,"E","Estimated value"
"AUS","Australia","T_GDPPOP","GDP per head of population","PCTUS","As % of the USA (USA=100)","2013","2013","PC","Percentage","0","Units","USA_100","USA=100",89.783517,,
"AUS","Australia","T_GDPPOP","GDP per head of population","PCTUS","As % of the USA (USA=100)","2014","2014","PC","Percentage","0","Units","USA_100","USA=100",86.485868,,
"AUS","Australia","T_GDPPOP","GDP per head of population","PCTUS","As % of the USA (USA=100)","2015","2015","PC","Percentage","0","Units","USA_100","USA=100",83.220376,,
"AUS","Australia","T_GDPPOP","GDP per head of population","PCTUS","As % of the USA (USA=100)","2016","2016","PC","Percentage","0","Units","USA_100","USA=100",86.572829,,
"AUS","Australia","T_GDPPOP","GDP per head of population","PCTUS","As % of the USA (USA=100)","2017","2017","PC","Percentage","0","Units","USA_100","USA=100",84.595472,,
"AUS","Australia","T_GDPPOP","GDP per head of population","PCTUS","As % of the USA (USA=100)","2018","2018","PC","Percentage","0","Units","USA_100","USA=100",84.550271,,
"AUS","Australia","T_GDPPOP","GDP per head of population","PCTUS","As % of the USA (USA=100)","2019","2019","PC","Percentage","0","Units","USA_100","USA=100",82.423309,,
"AUS","Australia","T_GDPPOP","GDP per head of population","PCTUS","As % of the USA (USA=100)","2020","2020","PC","Percentage","0","Units","USA_100","USA=100",88.524845,,
"AUS","Australia","T_GDPPOP","GDP per head of population","PCTUS","As % of the USA (USA=100)","2021","2021","PC","Percentage","0","Units","USA_100","USA=100",90.312137,,
"AUS","Australia","T_GDPPOP","GDP per head of population","PCTUS","As % of the USA (USA=100)","2022","2022","PC","Percentage","0","Units","USA_100","USA=100",93.044617,,
"AUS","Australia","T_GDPHRS","GDP per hour worked","PCTUS","As % of the USA (USA=100)","2013","2013","PC","Percentage","0","Units","USA_100","USA=100",81.332315,,
"AUS","Australia","T_GDPHRS","GDP per hour worked","PCTUS","As % of the USA (USA=100)","2014","2014","PC","Percentage","0","Units","USA_100","USA=100",79.081245,,
"AUS","Australia","T_GDPHRS","GDP per hour worked","PCTUS","As % of the USA (USA=100)","2015","2015","PC","Percentage","0","Units","USA_100","USA=100",77.947217,,
"AUS","Australia","T_GDPHRS","GDP per hour worked","PCTUS","As % of the USA (USA=100)","2016","2016","PC","Percentage","0","Units","USA_100","USA=100",80.839756,,
"AUS","Australia","T_GDPHRS","GDP per hour worked","PCTUS","As % of the USA (USA=100)","2017","2017","PC","Percentage","0","Units","USA_100","USA=100",79.450017,,
"AUS","Australia","T_GDPHRS","GDP per hour worked","PCTUS","As % of the USA (USA=100)","2018","2018","PC","Percentage","0","Units","USA_100","USA=100",79.739164,"E","Estimated value"
"AUS","Australia","T_GDPHRS","GDP per hour worked","PCTUS","As % of the USA (USA=100)","2019","2019","PC","Percentage","0","Units","USA_100","USA=100",80.353796,"E","Estimated value"
"AUS","Australia","T_GDPHRS","GDP per hour worked","PCTUS","As % of the USA (USA=100)","2020","2020","PC","Percentage","0","Units","USA_100","USA=100",81.123261,"E","Estimated value"
"AUS","Australia","T_GDPHRS","GDP per hour worked","PCTUS","As % of the USA (USA=100)","2021","2021","PC","Percentage","0","Units","USA_100","USA=100",84.147924,"E","Estimated value"
"AUS","Australia","T_GDPHRS","GDP per hour worked","PCTUS","As % of the USA (USA=100)","2022","2022","PC","Percentage","0","Units","USA_100","USA=100",86.181956,"E","Estimated value"
"AUS","Australia","T_GDPEMP","GDP per person employed","PCTUS","As % of the USA (USA=100)","2013","2013","PC","Percentage","0","Units","USA_100","USA=100",82.859549,,
"AUS","Australia","T_GDPEMP","GDP per person employed","PCTUS","As % of the USA (USA=100)","2014","2014","PC","Percentage","0","Units","USA_100","USA=100",80.076316,,
"AUS","Australia","T_GDPEMP","GDP per person employed","PCTUS","As % of the USA (USA=100)","2015","2015","PC","Percentage","0","Units","USA_100","USA=100",77.429246,,
"AUS","Australia","T_GDPEMP","GDP per person employed","PCTUS","As % of the USA (USA=100)","2016","2016","PC","Percentage","0","Units","USA_100","USA=100",80.846114,,
"AUS","Australia","T_GDPEMP","GDP per person employed","PCTUS","As % of the USA (USA=100)","2017","2017","PC","Percentage","0","Units","USA_100","USA=100",78.72916,,
"AUS","Australia","T_GDPEMP","GDP per person employed","PCTUS","As % of the USA (USA=100)","2018","2018","PC","Percentage","0","Units","USA_100","USA=100",78.805566,"E","Estimated value"
"AUS","Australia","T_GDPEMP","GDP per person employed","PCTUS","As % of the USA (USA=100)","2019","2019","PC","Percentage","0","Units","USA_100","USA=100",78.069165,"E","Estimated value"
"AUS","Australia","T_GDPEMP","GDP per person employed","PCTUS","As % of the USA (USA=100)","2020","2020","PC","Percentage","0","Units","USA_100","USA=100",78.991035,"E","Estimated value"
"AUS","Australia","T_GDPEMP","GDP per person employed","PCTUS","As % of the USA (USA=100)","2021","2021","PC","Percentage","0","Units","USA_100","USA=100",80.484849,"E","Estimated value"
"AUS","Australia","T_GDPEMP","GDP per person employed","PCTUS","As % of the USA (USA=100)","2022","2022","PC","Percentage","0","Units","USA_100","USA=100",83.081718,"E","Estimated value"
"AUS","Australia","T_HRSPOP","Labour utilisation (hours worked per head of population)","PCTUS","As % of the USA (USA=100)","2013","2013","PC","Percentage","0","Units","USA_100","USA=100",110.390952,,
"AUS","Australia","T_HRSPOP","Labour utilisation (hours worked per head of population)","PCTUS","As % of the USA (USA=100)","2014","2014","PC","Percentage","0","Units","USA_100","USA=100",109.363312,,
"AUS","Australia","T_HRSPOP","Labour utilisation (hours worked per head of population)","PCTUS","As % of the USA (USA=100)","2015","2015","PC","Percentage","0","Units","USA_100","USA=100",106.765039,,
"AUS","Australia","T_HRSPOP","Labour utilisation (hours worked per head of population)","PCTUS","As % of the USA (USA=100)","2016","2016","PC","Percentage","0","Units","USA_100","USA=100",107.091899,,
"AUS","Australia","T_HRSPOP","Labour utilisation (hours worked per head of population)","PCTUS","As % of the USA (USA=100)","2017","2017","PC","Percentage","0","Units","USA_100","USA=100",106.476342,,
"AUS","Australia","T_HRSPOP","Labour utilisation (hours worked per head of population)","PCTUS","As % of the USA (USA=100)","2018","2018","PC","Percentage","0","Units","USA_100","USA=100",106.033555,"E","Estimated value"
"AUS","Australia","T_HRSPOP","Labour utilisation (hours worked per head of population)","PCTUS","As % of the USA (USA=100)","2019","2019","PC","Percentage","0","Units","USA_100","USA=100",102.575501,"E","Estimated value"
"AUS","Australia","T_HRSPOP","Labour utilisation (hours worked per head of population)","PCTUS","As % of the USA (USA=100)","2020","2020","PC","Percentage","0","Units","USA_100","USA=100",109.123873,"E","Estimated value"
"AUS","Australia","T_HRSPOP","Labour utilisation (hours worked per head of population)","PCTUS","As % of the USA (USA=100)","2021","2021","PC","Percentage","0","Units","USA_100","USA=100",107.325449,"E","Estimated value"
"AUS","Australia","T_HRSPOP","Labour utilisation (hours worked per head of population)","PCTUS","As % of the USA (USA=100)","2022","2022","PC","Percentage","0","Units","USA_100","USA=100",107.962991,"E","Estimated value"
"AUT","Austria","T_GDPPOP","GDP per head of population","C","National currency, current prices","2013","2013","NATCUR","National currency","0","Units",,,38209.438696,,
"AUT","Austria","T_GDPPOP","GDP per head of population","C","National currency, current prices","2014","2014","NATCUR","National currency","0","Units",,,38992.12564,,
"AUT","Austria","T_GDPPOP","GDP per head of population","C","National currency, current prices","2015","2015","NATCUR","National currency","0","Units",,,39894.370706,,
"AUT","Austria","T_GDPPOP","GDP per head of population","C","National currency, current prices","2016","2016","NATCUR","National currency","0","Units",,,40917.149648,,
"AUT","Austria","T_GDPPOP","GDP per head of population","C","National currency, current prices","2017","2017","NATCUR","National currency","0","Units",,,41996.453014,,
"AUT","Austria","T_GDPPOP","GDP per head of population","C","National currency, current prices","2018","2018","NATCUR","National currency","0","Units",,,43594.349756,,
"AUT","Austria","T_GDPPOP","GDP per head of population","C","National currency, current prices","2019","2019","NATCUR","National currency","0","Units",,,44735.686985,,
"AUT","Austria","T_GDPPOP","GDP per head of population","C","National currency, current prices","2020","2020","NATCUR","National currency","0","Units",,,42715.608492,,
"AUT","Austria","T_GDPPOP","GDP per head of population","C","National currency, current prices","2021","2021","NATCUR","National currency","0","Units",,,45270.682521,,
"AUT","Austria","T_GDPPOP","GDP per head of population","C","National currency, current prices","2022","2022","NATCUR","National currency","0","Units",,,49400.723926,,
"AUT","Austria","T_GDPHRS","GDP per hour worked","C","National currency, current prices","2013","2013","NATCUR","National currency","0","Units",,,50.497474,,
"AUT","Austria","T_GDPHRS","GDP per hour worked","C","National currency, current prices","2014","2014","NATCUR","National currency","0","Units",,,51.781268,,
"AUT","Austria","T_GDPHRS","GDP per hour worked","C","National currency, current prices","2015","2015","NATCUR","National currency","0","Units",,,53.729608,,
"AUT","Austria","T_GDPHRS","GDP per hour worked","C","National currency, current prices","2016","2016","NATCUR","National currency","0","Units",,,54.653909,,
"AUT","Austria","T_GDPHRS","GDP per hour worked","C","National currency, current prices","2017","2017","NATCUR","National currency","0","Units",,,55.882698,,
"AUT","Austria","T_GDPHRS","GDP per hour worked","C","National currency, current prices","2018","2018","NATCUR","National currency","0","Units",,,57.175528,,
"AUT","Austria","T_GDPHRS","GDP per hour worked","C","National currency, current prices","2019","2019","NATCUR","National currency","0","Units",,,58.010432,,
"AUT","Austria","T_GDPHRS","GDP per hour worked","C","National currency, current prices","2020","2020","NATCUR","National currency","0","Units",,,60.924099,,
"AUT","Austria","T_GDPHRS","GDP per hour worked","C","National currency, current prices","2021","2021","NATCUR","National currency","0","Units",,,61.845751,,
"AUT","Austria","T_GDPHRS","GDP per hour worked","C","National currency, current prices","2022","2022","NATCUR","National currency","0","Units",,,66.298575,,
"AUT","Austria","T_GDPEMP","GDP per person employed","C","National currency, current prices","2013","2013","NATCUR","National currency","0","Units",,,76760.155174,,
"AUT","Austria","T_GDPEMP","GDP per person employed","C","National currency, current prices","2014","2014","NATCUR","National currency","0","Units",,,78205.138618,,
"AUT","Austria","T_GDPEMP","GDP per person employed","C","National currency, current prices","2015","2015","NATCUR","National currency","0","Units",,,80332.753865,,
"AUT","Austria","T_GDPEMP","GDP per person employed","C","National currency, current prices","2016","2016","NATCUR","National currency","0","Units",,,82372.901853,,
"AUT","Austria","T_GDPEMP","GDP per person employed","C","National currency, current prices","2017","2017","NATCUR","National currency","0","Units",,,83706.934297,,
"AUT","Austria","T_GDPEMP","GDP per person employed","C","National currency, current prices","2018","2018","NATCUR","National currency","0","Units",,,85862.795264,,
"AUT","Austria","T_GDPEMP","GDP per person employed","C","National currency, current prices","2019","2019","NATCUR","National currency","0","Units",,,87572.063619,,
"AUT","Austria","T_GDPEMP","GDP per person employed","C","National currency, current prices","2020","2020","NATCUR","National currency","0","Units",,,85341.681791,,
"AUT","Austria","T_GDPEMP","GDP per person employed","C","National currency, current prices","2021","2021","NATCUR","National currency","0","Units",,,89001.844864,,
"AUT","Austria","T_GDPEMP","GDP per person employed","C","National currency, current prices","2022","2022","NATCUR","National currency","0","Units",,,95716.602708,,
"AUT","Austria","T_GDPPOP","GDP per head of population","CPC","USD, current prices, current PPPs","2013","2013","USD","US Dollar","0","Units",,,47936.678019,,
"AUT","Austria","T_GDPPOP","GDP per head of population","CPC","USD, current prices, current PPPs","2014","2014","USD","US Dollar","0","Units",,,48813.534448,,
"AUT","Austria","T_GDPPOP","GDP per head of population","CPC","USD, current prices, current PPPs","2015","2015","USD","US Dollar","0","Units",,,49942.05633,,
"AUT","Austria","T_GDPPOP","GDP per head of population","CPC","USD, current prices, current PPPs","2016","2016","USD","US Dollar","0","Units",,,52665.087417,,
"AUT","Austria","T_GDPPOP","GDP per head of population","CPC","USD, current prices, current PPPs","2017","2017","USD","US Dollar","0","Units",,,54188.360688,,
"AUT","Austria","T_GDPPOP","GDP per head of population","CPC","USD, current prices, current PPPs","2018","2018","USD","US Dollar","0","Units",,,56956.110561,,
"AUT","Austria","T_GDPPOP","GDP per head of population","CPC","USD, current prices, current PPPs","2019","2019","USD","US Dollar","0","Units",,,60590.199622,,
"AUT","Austria","T_GDPPOP","GDP per head of population","CPC","USD, current prices, current PPPs","2020","2020","USD","US Dollar","0","Units",,,58610.931781,,
"AUT","Austria","T_GDPPOP","GDP per head of population","CPC","USD, current prices, current PPPs","2021","2021","USD","US Dollar","0","Units",,,63451.49025,,
"AUT","Austria","T_GDPPOP","GDP per head of population","CPC","USD, current prices, current PPPs","2022","2022","USD","US Dollar","0","Units",,,70889.431689,,
"AUT","Austria","T_GDPHRS","GDP per hour worked","CPC","USD, current prices, current PPPs","2013","2013","USD","US Dollar","0","Units",,,63.352962,,
"AUT","Austria","T_GDPHRS","GDP per hour worked","CPC","USD, current prices, current PPPs","2014","2014","USD","US Dollar","0","Units",,,64.82403,,
"AUT","Austria","T_GDPHRS","GDP per hour worked","CPC","USD, current prices, current PPPs","2015","2015","USD","US Dollar","0","Units",,,67.261798,,
"AUT","Austria","T_GDPHRS","GDP per hour worked","CPC","USD, current prices, current PPPs","2016","2016","USD","US Dollar","0","Units",,,70.34588,,
"AUT","Austria","T_GDPHRS","GDP per hour worked","CPC","USD, current prices, current PPPs","2017","2017","USD","US Dollar","0","Units",,,72.105894,,
"AUT","Austria","T_GDPHRS","GDP per hour worked","CPC","USD, current prices, current PPPs","2018","2018","USD","US Dollar","0","Units",,,74.699949,,
"AUT","Austria","T_GDPHRS","GDP per hour worked","CPC","USD, current prices, current PPPs","2019","2019","USD","US Dollar","0","Units",,,78.569569,,
"AUT","Austria","T_GDPHRS","GDP per hour worked","CPC","USD, current prices, current PPPs","2020","2020","USD","US Dollar","0","Units",,,83.595163,,
"AUT","Austria","T_GDPHRS","GDP per hour worked","CPC","USD, current prices, current PPPs","2021","2021","USD","US Dollar","0","Units",,,86.683144,,
"AUT","Austria","T_GDPHRS","GDP per hour worked","CPC","USD, current prices, current PPPs","2022","2022","USD","US Dollar","0","Units",,,95.13764,,
