Country,Time,GDP per head of population,GDP per hour worked,GDP per person employed,Hourly Wage
Poland,2022,45370.97,56.02,101656.58,8.42
Portugal,2013,27936.01,38.22,65645.9,5.74
Portugal,2014,28742.31,38.41,66242.53,5.76
Portugal,2015,29660.85,38.77,67142.02,5.97
Portugal,2016,31607.61,40.4,70188.02,6.22
Portugal,2017,33044.7,41.03,70872.05,6.45
Portugal,2018,34928.62,42.07,73096.71,6.65
Portugal,2019,37845.06,45.07,78599.1,6.86
Portugal,2020,35874.74,47.13,75935.6,7.26
Portugal,2021,39036.3,49.14,81023.39,7.51
Portugal,2022,44962.9,56.24,91950.63,7.38
Slovak Republic,2013,28021.09,39.05,69188.36,3.71
Slovak Republic,2014,29029.59,40.21,70754.83,3.87
Slovak Republic,2015,30062.18,40.99,71901.4,4.19
Slovak Republic,2016,29737.53,39.99,69580.05,4.5
Slovak Republic,2017,30147.02,40.33,69111.93,4.76
Slovak Republic,2018,31374.19,41.44,70607.89,5.13
Slovak Republic,2019,33949,44.75,75712.8,5.34
Slovak Republic,2020,34988.9,50.66,79638.03,5.92
Slovak Republic,2021,37840.73,54.52,86318,6.17
Slovak Republic,2022,40586.47,56.58,91778.84,5.67
Slovenia,2013,29979.62,40.04,66555.68,8.09
Slovenia,2014,30872.73,40.63,68321.82,8.12
Slovenia,2015,31631.84,40.98,69147.72,8.19
Slovenia,2016,33942.77,44.12,72908.88,8.19
Slovenia,2017,36517.58,47.02,76265.27,8.22
Slovenia,2018,39008.3,49.39,79173.96,8.46
Slovenia,2019,42735.11,53.31,85365.85,8.76
Slovenia,2020,42033.26,55.54,85108.48,9.3
Slovenia,2021,46509.76,58.48,93185.31,9.93
Slovenia,2022,51344.91,62.15,100071.42,9.57
Spain,2013,32463.12,50.28,84962.03,8.45
Spain,2014,33558.98,51.27,86669.58,8.47
Spain,2015,34945.48,51.77,87709.83,8.56
Spain,2016,37333.06,53.97,91823.11,8.66
Spain,2017,39601.48,56.18,95075.89,9.17
Spain,2018,40776.77,56.66,96190.64,9.38
Spain,2019,43767.03,60.45,101399.35,11.39
Spain,2020,38975.56,60.81,94736.56,12.07
Spain,2021,43698.22,63.56,103791.46,11.76
Spain,2022,48852.44,68.8,113681.75,11.36
Türkiye,2013,22373.14,37.95,69520.99,5.04
Türkiye,2014,24104.98,39.47,72209.7,5.11
Türkiye,2015,25855.91,42.09,76220.3,5.33
Türkiye,2016,26695.91,43.6,78012.64,6.58
Türkiye,2017,28193.06,45.45,80696,6.39
Türkiye,2018,28299.47,46.04,80343.69,6.27
Türkiye,2019,28461.33,48.39,83807.62,6.86
Türkiye,2020,28680.09,56.94,89527.8,7.03
Türkiye,2021,31637.65,53.42,92527.38,7.14
Türkiye,2022,38355.11,61.27,106131.06,8.81
United Kingdom,2013,39968.1,55.62,85287.76,9.63
United Kingdom,2014,41281.54,56.23,86713.68,9.71
United Kingdom,2015,42500.91,58,88452.33,9.96
United Kingdom,2016,44057.69,59.11,91109.45,10.84
United Kingdom,2017,46061.35,61.78,94880.71,10.91
United Kingdom,2018,47107.71,62.8,96466.14,11.12
United Kingdom,2019,49940.54,66.18,101720.4,11.46
United Kingdom,2020,48006.08,72.6,99059.63,12
United Kingdom,2021,52841.89,72.95,109290.04,12.07
United Kingdom,2022,56765.79,76.73,117526.68,11.8
United States,2013,53234.74,66.65,115473.22,9.11
United States,2014,55094.13,68.19,118567.73,8.96
United States,2015,56796.9,69.46,121154.25,8.95
United States,2016,57930.97,70.37,122437.38,8.84
United States,2017,60001.54,72.43,126128.52,8.66
United States,2018,62825.1,75.05,130806.99,8.45
United States,2019,65115.12,77.34,134744.52,8.3
United States,2020,64266.79,81.94,142173.85,8.2
United States,2021,70991.3,86.87,152451.67,7.83
United States,2022,77171.74,91.5,160484.42,7.25
